dcc_mode,hsa_enable_dcc,rep,block,wgp,n_kernel_rows,status,TCC_HIT_sum,TCC_MISS_sum,TCC_ATOMIC_sum
dcc_disabled,0,0,1024,64,56,ok,66043,441844,212992
dcc_disabled,0,1,1024,64,56,ok,64771,441852,212992
dcc_disabled,0,2,1024,64,56,ok,66115,441844,212992
dcc_disabled,1,0,1024,64,56,ok,64819,441852,212992
dcc_disabled,1,1,1024,64,56,ok,65995,441844,212992
dcc_disabled,1,2,1024,64,56,ok,64771,441852,212992
dcc_uncompressed,0,0,1024,64,56,ok,72194,656891,425984
dcc_uncompressed,0,1,1024,64,56,ok,67299,656899,425984
dcc_uncompressed,0,2,1024,64,56,ok,72242,656891,425984
dcc_uncompressed,1,0,1024,64,56,ok,67203,656891,425984
dcc_uncompressed,1,1,1024,64,56,ok,72242,656891,425984
dcc_uncompressed,1,2,1024,64,56,ok,67251,656899,425984
dcc_2to1,0,0,1024,64,56,ok,74151,1087018,851968
dcc_2to1,0,1,1024,64,56,ok,71898,1087010,851968
dcc_2to1,0,2,1024,64,56,ok,74102,1087026,851968
dcc_2to1,1,0,1024,64,56,ok,71635,1087018,851968
dcc_2to1,1,1,1024,64,56,ok,74395,1087018,851968
dcc_2to1,1,2,1024,64,56,ok,71800,1087018,851968
dcc_4to1,0,0,1024,64,56,ok,83240,1947290,1703936
dcc_4to1,0,1,1024,64,56,ok,81110,1947290,1703936
dcc_4to1,0,2,1024,64,56,ok,83168,1947298,1703936
dcc_4to1,1,0,1024,64,56,ok,81088,1947298,1703936
dcc_4to1,1,1,1024,64,56,ok,83264,1947298,1703936
dcc_4to1,1,2,1024,64,56,ok,81037,1947306,1703936
